ID,Name,Calories/g,Protein/g,Carbohydrate/g,Sugar/g,Fat/g,Fibre/g,Protein/kcal,Price/g,Vegan,GlutenFree,Milk,Egg,Nuts,Soy,chocolate,cookie,fruit,lemon,mint,nut,white
1,Amazon Brand - Amfit Nutrition Low Sugar  (Chocolate Caramel),0.12910085054678003,0.7416666666666667,0.3093220338983051,0.041749502982107355,0.08256880733944953,0.5090909090909091,0.771186440677966,0.08695652173913047,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Amazon Brand - Amfit Nutrition Low Sugar (Cookies and Cream),0.12910085054678003,0.7416666666666667,0.3093220338983051,0.033797216699801194,0.0871559633027523,0.5272727272727272,0.771186440677966,0.05797101449275363,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,Amazon Brand - Amfit Nutrition Low Sugar (Peanut),0.15947752126366949,0.7361111111111112,0.2944915254237288,0.04373757455268389,0.11697247706422018,0.5163636363636362,0.7457627118644068,0.04347826086956521,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,"Quest Bar, Choc. Chip Cookie Dough",0.13942891859052237,0.8055555555555556,0.4364406779661017,0.02186878727634195,0.2545871559633027,0.7272727272727273,0.8305084745762712,0.710144927536232,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,"Grenade High Protein, Low Sugar Bar - Oreo",0.35692588092345073,0.8055555555555556,0.364406779661017,0.02186878727634195,0.29357798165137616,0.07272727272727272,0.6525423728813559,0.5362318840579712,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,"Grenade High Protein, Low Sugar Bar - Birthday Cake",0.2506075334143377,0.7583333333333334,0.364406779661017,0.041749502982107355,0.29357798165137616,0.07272727272727272,0.6864406779661016,0.5362318840579712,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,"Grenade High Protein, Low Sugar Bar - Caramel Chaos",0.2050425273390036,0.8055555555555556,0.364406779661017,0.03777335984095428,0.29357798165137616,0.07272727272727272,0.7627118644067796,0.5362318840579712,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Grenade High Protein, Low Sugar Bar - White Chocolate Cookie",0.2457472660996354,0.8527777777777777,0.364406779661017,0.0974155069582505,0.20183486238532108,0.07272727272727272,0.771186440677966,0.5362318840579712,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,"Grenade High Protein, Low Sugar Bar - Chocolate Chip Cookie Dough",0.2506075334143377,0.8527777777777777,0.364406779661017,0.0974155069582505,0.20183486238532108,0.07272727272727272,0.771186440677966,0.5362318840579712,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Grenade High Protein, Low Sugar Bar - Chocolate Chip Salted Caramel",0.30133657351154314,0.8527777777777777,0.364406779661017,0.0974155069582505,0.20183486238532108,0.07272727272727272,0.728813559322034,0.5362318840579712,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
